Numéro;Date;Montant;Etat;Tiers;Catégories;Sous-catégorie;Compte;Compte virement;Mode paiement;Ref. Paiement;Référence;Projets/Biens;Commentaire
0;01/01/2023;-50.00;0;Dans La Poche;Transferts;Transfert;FrenchBanq;;Autre;;;;
1;01/01/2023;-2.90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
2;02/01/2023;1025.32;0;ProBtp;Autres revenus;Complémentaire Santé;FrenchBanq;;Autre;;;;
3;02/01/2023;-1.00;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
4;03/01/2023;-10.00;0;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
5;03/01/2023;-2.50;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
6;04/01/2023;1092.22;0;CPAM DE L'ARTOIS;Autres revenus;Pension Invalidité;FrenchBanq;;Autre;;;;
7;04/01/2023;-43.87;0;L'Olivier Assurance;Auto/moto;Assurance Auto/moto;FrenchBanq;;Autre;;;;
8;05/01/2023;-180.00;0;Saison Adeline;Enfants;Pension Alimentaire;FrenchBanq;;Autre;;;;Pension Alimentaire
9;05/01/2023;-499.77;0;Sia;Abonnement/factures;Loyer;FrenchBanq;;Autre;;;;
10;05/01/2023;-67.06;0;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
11;05/01/2023;-29.99;0;Free;Abonnement/factures;Internet;FrenchBanq;;Autre;;;;
12;07/01/2023;-102.00;0;Au Tabac;Ventilation multiple;Ventilation multiple;FrenchBanq;;Autre;;;;
13;07/01/2023;-80.66;0;Véolia;Abonnement/factures;Eau;FrenchBanq;;Autre;;;;
14;09/01/2023;-40.98;0;King Jouet;Divers;Cadeaux;FrenchBanq;;Autre;;;;
15;09/01/2023;-14.40;0;Kfc;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
16;09/01/2023;-11.96;0;La Foire Fouille;Équipement du logement;Travaux / Décoration;FrenchBanq;;Autre;;;;
17;09/01/2023;-3.35;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
18;09/01/2023;-9.99;0;FreeMobile;Abonnement/factures;Portable;FrenchBanq;;Autre;;;;
19;10/01/2023;-5.10;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
20;11/01/2023;-10.00;0;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
21;11/01/2023;-2.05;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
22;11/01/2023;-0.60;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
23;11/01/2023;-0.72;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
24;13/01/2023;-0.50;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
25;13/01/2023;-10.00;0;Carre d'as;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
26;14/01/2023;-50.65;0;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
27;14/01/2023;-100.00;0;Dans La Poche;Transferts;Transfert;FrenchBanq;;Autre;;;;
28;14/01/2023;-2.50;0;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
29;15/01/2023;-10.00;0;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
30;15/01/2023;-20.00;0;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
31;17/01/2023;-152.00;0;Engie;Ventilation multiple;Ventilation multiple;FrenchBanq;;Autre;;;;
32;17/01/2023;-5.00;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
33;18/01/2023;-1.00;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
34;20/01/2023;-200.00;0;SCP ZEHNDER-AMOU;Divers;Responsabilité civile;FrenchBanq;;Autre;;;;
35;20/01/2023;800.00;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
36;20/01/2023;-1115.57;0;Garage;Auto/moto;Entretien/réparations;FrenchBanq;;Autre;;;;
37;21/01/2023;-10.00;0;Carre d'as;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
38;21/01/2023;-38.63;0;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
39;23/01/2023;-10.00;0;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
40;23/01/2023;-1.93;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
41;23/01/2023;-55.78;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
42;23/01/2023;-0.50;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
43;24/01/2023;-0.50;0;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
44;25/01/2023;-10.00;0;La Civette;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
45;27/01/2023;-10.00;0;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
46;27/01/2023;-13.73;0;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
