0;20240828;-11,00;2;Leclerc;Frais Profesionnel;Alimentation/Restaurant;Retrait d'Espèces;;Autre;;;;
1;20240819;10,00;2;CCP;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
2;20240809;9,90;2;Note de frais;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
3;20240804;-5150,00;2;Ajustement Du Compte;Divers;Retrait d'espèces;Retrait d'Espèces;;Autre;;;;
4;20240501;-90,00;2;Catherine;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
5;20240416;-90,00;2;Catherine;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;reparation
6;20240416;-200,00;2;Catherine;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
7;20240416;400,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
8;20240410;-250,00;2;Catherine;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
9;20240410;260,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
10;20240405;200,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
11;20240403;200,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
12;20240330;500,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
13;20240325;200,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
14;20240323;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
15;20240321;150,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
16;20240318;150,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
17;20240315;200,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
18;20240311;200,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
19;20240305;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
20;20240227;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
21;20240226;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
22;20240223;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
23;20240220;80,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
24;20240219;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
25;20240218;150,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
26;20240217;500,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
27;20240215;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
28;20240214;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
29;20240210;150,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
30;20240205;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
31;20240202;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
32;20240201;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
33;20240131;30,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
34;20240131;200,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
35;20240130;200,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
36;20240130;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
37;20240129;150,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
38;20240126;20,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
39;20240125;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
40;20240120;250,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
41;20240113;300,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
42;20240111;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
43;20240103;200,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
44;20231214;-10,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
45;20231202;-50,00;2;Catherine;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
46;20231202;-5,00;2;Melvin;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
47;20231202;-30,00;2;Banquet;Loisirs/culture/sport;Cinéma/spectacle;Retrait d'Espèces;;Autre;;;;
48;20231201;-100,00;2;Catherine;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
49;20231201;200,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
50;20231130;-155,00;2;Ajustement Du Compte;Divers;Retrait d'espèces;Retrait d'Espèces;;Autre;;;;Credit auto
51;20231127;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
52;20231120;40,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
53;20230928;-10,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
54;20230924;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
55;20230921;-10,00;2;Relais d'allenes;Auto/moto;Carburant;Retrait d'Espèces;;Autre;;;;
56;20230920;-90,00;2;Catherine;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
57;20230920;-30,00;2;Intermarche;Auto/moto;Carburant;Retrait d'Espèces;;Autre;;;;
58;20230920;130,42;2;Note de frais;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
59;20230904;-11,00;2;Carre d'as;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
60;20230904;20,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
61;20230816;-40,00;2;Catherine;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
62;20230810;-8,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
63;20230804;-20,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
64;20230802;-16,00;2;LIDL;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
65;20230801;-163,49;2;Ajustement Du Compte;Divers;Retrait d'espèces;Retrait d'Espèces;;Autre;;;;Credit auto
66;20230720;-8,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
67;20230720;100,00;2;PACT;Autres revenus;Remboursement Divers;Retrait d'Espèces;;Autre;;;;
