Numéro;Date;Montant;Etat;Tiers;Catégories;Sous-catégorie;Compte;Compte virement;Mode paiement;Ref. Paiement;Référence;Projets/Biens;Commentaire
0;01/11/2021;-3,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
1;01/11/2021;3,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
2;01/11/2021;-2,90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
3;02/11/2021;1169,63;2;Pôle Emploi;Autres revenus;Allocations de chômage;Livret A;;Autre;;;;
4;03/11/2021;-600,00;2;FrenchBanq;Transferts;Transfert;Livret A;;Autre;;;;
5;03/11/2021;-400,00;2;Retrait d'Espèces;Transferts;Transfert;Livret A;;Autre;;;;
6;03/11/2021;400,00;2;Livret A;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
7;03/11/2021;600,00;2;Livret A;Transferts;Transfert;FrenchBanq;;Autre;;;;
8;04/11/2021;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
9;04/11/2021;-30,00;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
10;04/11/2021;866,38;2;CPAM DE L'ARTOIS;Autres revenus;Pension Invalidité;FrenchBanq;;Autre;;;;
11;06/11/2021;-40,00;2;Épicerie;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
12;07/11/2021;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
13;07/11/2021;-15,20;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
14;08/11/2021;-12,00;2;PIZZA MAXIME;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
15;08/11/2021;-0,60;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
16;08/11/2021;0,60;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
17;08/11/2021;-3,21;2;Free Mobile;Abonnement/factures;Portable;FrenchBanq;;Autre;;;;
18;10/11/2021;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
19;10/11/2021;-0,40;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
20;10/11/2021;0,40;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
21;10/11/2021;-1,20;2;Tadao;Transports;Metro/Bus/Train;FrenchBanq;;Autre;;;;
22;10/11/2021;-0,06;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
23;10/11/2021;0,06;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
24;10/11/2021;-19,99;2;Free Mobile;Abonnement/factures;Portable;FrenchBanq;;Autre;;;;
25;10/11/2021;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
26;10/11/2021;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
27;10/11/2021;-7,98;2;REGARDBTP;Santé;Complémentaire santé;FrenchBanq;;Autre;;;;
28;12/11/2021;-50,00;2;lucas;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
29;15/11/2021;-10,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
30;15/11/2021;-9,90;2;Compagnon de la Vape;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
31;15/11/2021;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
32;15/11/2021;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
33;15/11/2021;-52,80;2;Compagnon de la Vape;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
